date,cust_email,cust_location,product_id,product_quantity,trade_number
2022-01-01,fruach@gmail.com,75907,YXXU3O4Q2WHH,1,1
2022-01-01,fruach@gmail.com,75907,WYJVST7W5OOA,1,2
2022-01-01,fruach@gmail.com,75907,3YA78V3CWZOM,1,3
2022-01-01,fruach@gmail.com,75907,BSDLRZ13UZHC,1,4
2022-01-01,yua@hotmail.com,24347,JO901HLDPA4C,1,5
2022-01-01,yua@hotmail.com,24347,CCEIWWPHKQLC,2,6
2022-01-01,yua@hotmail.com,24347,7V2CZ6UV8JOL,1,7
2022-01-01,bruef@gmail.com,21851,4RPQPRTDBTBA,3,8
2022-01-01,chyng@gmail.com,64931,JWTJH227HS75,3,9
2022-01-01,nio@msn.com,28805,L2FJLYVTFR01,1,10
2022-01-01,nio@msn.com,28805,HEN2N1UXHM2I,1,11
2022-01-01,nio@msn.com,28805,DR6H0MI3OKG0,3,12
2022-01-01,nio@msn.com,28805,JAS4CSB6TONP,1,13
2022-01-01,nio@msn.com,28805,SDTVZEQ17MSZ,1,14
2022-01-01,nio@msn.com,28805,HVZJE2FXGB9W,1,15
2022-01-01,vei@live.com,85758,NHB84JMVZ87Y,1,16
2022-01-01,vei@live.com,85758,YWDOKULSNP9K,1,17
2022-01-01,vei@live.com,85758,QKW54N2ZGJN1,2,18
2022-01-01,vei@live.com,85758,8AOX9FMNSG6S,5,19
2022-01-01,triz@gmail.com,50031,9418STNJF0NM,1,20
2022-01-01,triz@gmail.com,50031,75YZQ08AB0M1,1,21
2022-01-01,triz@gmail.com,50031,W5MWVL8I8KCA,5,22
2022-01-01,triz@gmail.com,50031,K6F11KIIB2HX,1,23
2022-01-01,triz@gmail.com,50031,TX0JCT3J5K06,1,24
2022-01-01,triz@gmail.com,50031,BTFT7NHE7GXR,3,25
2022-01-01,cryng@gmail.com,32133,RIBICO93WK92,1,26
2022-01-01,stee@hotmail.com,97376,93VHETQ1BJX3,2,27
2022-01-01,stee@hotmail.com,97376,SBTJS3QXVM2C,2,28
2022-01-01,stounk@gmail.com,35366,DOX2R62KSJU4,2,29
2022-01-01,spib@aol.com,26277,ALREZBYA80DB,1,30
2022-01-01,spib@aol.com,26277,8ANCV9RZHDOM,1,31
2022-01-01,spib@aol.com,26277,W8M8LYF4PQR8,4,32
2022-01-01,prou@icloud.com,24864,362TLPPRBHAF,1,33
2022-01-01,prou@icloud.com,24864,PWHQPUOVYV73,1,34
2022-01-01,cry@icloud.com,95338,JLIO4I945E5U,1,35
2022-01-01,cry@icloud.com,95338,U7L2609KM4YD,1,36
2022-01-01,cry@icloud.com,95338,DJXDQLADACGN,4,37
2022-01-01,cry@icloud.com,95338,C487E8C58E43,1,38
2022-01-01,crach@outlook.com,85758,KA0VYO1Q65E2,1,39
2022-01-01,zae@gmail.com,88244,MR95IQECXPL8,1,40
2022-01-01,zae@gmail.com,88244,IOE585A88AI5,1,41
2022-01-02,vich@live.com,23882,QQB2DIV2D7KQ,1,42
2022-01-02,vich@live.com,23882,VVCWDT6ZZOZB,2,43
2022-01-02,woh@yahoo.com,41713,1YZ3IIMIT70V,5,44
2022-01-02,woh@yahoo.com,41713,TSEF4H4USAU3,1,45
2022-01-02,spaeh@hotmail.com,97360,QK02MAE06JL5,3,46
2022-01-02,spaeh@hotmail.com,97360,0P2I21IOXIEK,1,47
2022-01-02,spaeh@hotmail.com,97360,L397ZEXVUHVM,1,48
2022-01-02,spaeh@hotmail.com,97360,NDY8J6SWT0OJ,1,49
2022-01-02,maess@yahoo.com,10727,LVVXSRPRHXV6,2,50
2022-01-02,maess@yahoo.com,10727,V9H79WYJ5DBI,1,51
2022-01-02,hee@gmail.com,41996,0DK3ZPSPGB7F,1,52
2022-01-02,himp@outlook.com,43097,RJ0Y4VC73EHQ,1,53
2022-01-02,himp@outlook.com,43097,FHO66AWK13GP,3,54
2022-01-02,pa@mail.com,31858,WY2D83TRIF2C,1,55
2022-01-02,pa@mail.com,31858,D6AJ2NL7GGSM,3,56
2022-01-02,pa@mail.com,31858,ITTLONI7HWT5,1,57
2022-01-02,pa@mail.com,31858,WFKSPT2478MB,3,58
2022-01-02,pa@mail.com,31858,RCYMAH2CTLZP,1,59
2022-01-02,pa@mail.com,31858,UMUSJ2X3C25X,2,60
2022-01-02,bree@gmail.com,47055,7618N5HR0FCL,1,61
2022-01-02,bree@gmail.com,47055,7XQN1T1Y6FDW,3,62
2022-01-02,bree@gmail.com,47055,XLLF7UCCCM07,1,63
2022-01-02,bree@gmail.com,47055,KKHKL81UH3Z1,1,64
2022-01-02,bree@gmail.com,47055,2XSYOJM9706X,2,65
2022-01-02,bree@gmail.com,47055,XM6T0VH1XXZK,3,66
2022-01-02,bree@gmail.com,47055,TA1LBR2IP5VR,1,67
2022-01-02,mou@gmail.com,98057,5RN13T9GJN3C,2,68
2022-01-02,fui@msn.com,73948,EAMDZDWJ15K7,1,69
2022-01-02,fui@msn.com,73948,56LFRXS033G1,2,70
2022-01-02,yaiy@inbox.com,85444,BG50KS5AML1Z,1,71
2022-01-02,yaiy@inbox.com,85444,QIJNLJWNJXGB,2,72
2022-01-02,yaiy@inbox.com,85444,O4JKN71XUSCA,1,73
2022-01-02,yaiy@inbox.com,85444,78RNTQKB62C9,1,74
2022-01-02,yaiy@inbox.com,85444,RBM9EP0PGMQD,1,75
2022-01-02,yaiy@inbox.com,85444,4DAPCMR1QGT9,1,76
2022-01-03,bloev@inbox.com,15700,FI79QIEDJVD6,1,77
2022-01-03,meopt@inbox.com,31809,T5OUX2FL5RCZ,1,78
2022-01-03,meopt@inbox.com,31809,BE0YLNQX3QR1,1,79
2022-01-03,meopt@inbox.com,31809,ZUCEKFH90ZWZ,3,80
2022-01-03,meopt@inbox.com,31809,L8L2KWI8OPO3,1,81
2022-01-03,steed@icloud.com,14330,D1WFOXT9EZ3L,1,82
2022-01-03,reol@outlook.com,65454,YDEOQJMG47GH,1,83
2022-01-03,reol@outlook.com,65454,AHK155QBRDW1,1,84
2022-01-03,reol@outlook.com,65454,8NYY5A25K02L,2,85
2022-01-03,to@yahoo.com,71665,KK6ST11OUZHI,1,86
2022-01-03,to@yahoo.com,71665,122PV2DD1NHM,1,87
2022-01-03,to@yahoo.com,71665,J9I26D4BBIA6,1,88
2022-01-03,to@yahoo.com,71665,R8L6TZUNVWLB,1,89
2022-01-03,goash@msn.com,96197,HVLMH53V0XCY,1,90
2022-01-03,goash@msn.com,96197,MOF0F2U4PNIF,4,91
2022-01-03,bli@live.com,37813,PCEALWCND7AO,1,92
2022-01-03,bli@live.com,37813,VH3O9FM2QBGD,1,93
2022-01-03,smor@icloud.com,27326,UG6FV8XESNN6,1,94
2022-01-03,munk@outlook.com,4213,DZ3LJ9IZRN5P,1,95
2022-01-03,munk@outlook.com,4213,NPNV0Q2MD81N,1,96
2022-01-03,munk@outlook.com,4213,C6500Z6ZLPH7,1,97
2022-01-03,sle@hotmail.com,94166,6F6IZ6S59Q8P,1,98
2022-01-03,sle@hotmail.com,94166,EOL7LP35BUZ3,2,99
2022-01-03,sle@hotmail.com,94166,16525J0WS4TH,2,100
2022-01-03,gi@hotmail.com,78722,8U1VLMHHCH88,1,101
2022-01-04,tyh@inbox.com,71909,P71FPLEPDICQ,1,102
2022-01-04,prid@aol.com,4702,AS2YLYC78OM2,2,103
2022-01-04,prid@aol.com,4702,4C9JUFZO65M1,4,104
2022-01-04,prid@aol.com,4702,QGENRHRSFFNP,3,105
2022-01-04,clie@gmail.com,45540,EZUG9WTJTB9B,2,106
